original_phrase,paraphrase,approach_name,semantic_similarity,bleu,temperature
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of one class.",transformers,0.9708904027938843,0.8787419089273848,0.1
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.1
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.1
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of the class.",transformers,0.9602688550949097,0.794483720649497,0.1
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of one class",transformers,0.9789338707923889,0.880773500588743,0.1
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.2
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.2
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in a single class.",transformers,0.9481552839279175,0.7871773473399102,0.2
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of the class",transformers,0.9875211715698242,0.9173176373893104,0.2
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in a class.",transformers,0.9471940994262695,0.7889972479485177,0.2
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of one class.",transformers,0.9708904027938843,0.8787419089273848,0.3
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.3
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.3
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of the class.",transformers,0.9602688550949097,0.794483720649497,0.3
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of one class",transformers,0.9789338707923889,0.880773500588743,0.3
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of one class.",transformers,0.9708904027938843,0.8787419089273848,0.4
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.4
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.4
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of the class.",transformers,0.9602688550949097,0.794483720649497,0.4
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of one class",transformers,0.9789338707923889,0.880773500588743,0.4
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class.",transformers,0.9827961921691895,0.9554427922043668,0.5
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all part of one class.",transformers,0.9692111015319824,0.8787419089273848,0.5
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of the class.",transformers,0.9733977913856506,0.8764445248055556,0.5
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.5
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.5
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class.",transformers,0.9827961921691895,0.9554427922043668,0.6
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all part of one class.",transformers,0.9692111015319824,0.8787419089273848,0.6
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of the class.",transformers,0.9733977913856506,0.8764445248055556,0.6
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.6
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.6
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of one class.",transformers,0.9708904027938843,0.8787419089273848,0.7
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.7
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.7
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","You can write Python code for addition, subtraction, division, multiplication, and other similar operations in one class.",transformers,0.9079678654670715,0.7063483217303298,0.7
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication and other similar operations, all a part of the class.",transformers,0.9602688550949097,0.794483720649497,0.7
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",transformers,1.0,1.0,0.8
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","Write Python code for addition, subtraction, division, multiplication, and other similar operations, all in one class.",transformers,0.9530211091041565,0.8003526445867715,0.8
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","You can write Python code for addition, subtraction, division, multiplication, and other similar operations in one class.",transformers,0.9079678654670715,0.7063483217303298,0.8
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class","You can write Python code for addition, subtraction, division, multiplication, and other similar operations in a single class.",transformers,0.8967635035514832,0.6934399147150092,0.8
