original_phrase,paraphrase,approach_name,semantic_similarity,bleu,bert_score,sacre_bleu,temperature
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be written. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the usual arithmetic operations. ",transformers,0.8597842454910278,0.483390365840087,0.9798745512962341,0.4562302529811859,0.1
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being written. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the common arithmetic operations. ",transformers,0.8458459973335266,0.4962568493743845,0.9813255667686462,0.46934109926223755,0.1
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is needed. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the common ones. ",transformers,0.8712968826293945,0.47396966433841015,0.9801797270774841,0.44650956988334656,0.1
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be created. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to common arithmetic operations. ",transformers,0.8552803993225098,0.49658624417827135,0.980410635471344,0.46965262293815613,0.1
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being created. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the usual arithmetic ones. ",transformers,0.8485721349716187,0.47780109859469677,0.9790371656417847,0.4504171907901764,0.1
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be written. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the usual arithmetic operations. ",transformers,0.8597842454910278,0.483390365840087,0.9798745512962341,0.4562302529811859,0.2
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being written. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the common arithmetic operations. ",transformers,0.8458459973335266,0.4962568493743845,0.9813255667686462,0.46934109926223755,0.2
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is needed. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the common ones. ",transformers,0.8712968826293945,0.47396966433841015,0.9801797270774841,0.44650956988334656,0.2
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be created. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to common arithmetic operations. ",transformers,0.8552803993225098,0.49658624417827135,0.980410635471344,0.46965262293815613,0.2
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being created. It will contain common operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents in addition to the usual arithmetic ones. ",transformers,0.8485721349716187,0.47780109859469677,0.9790371656417847,0.4504171907901764,0.2
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be written. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents, which are not found in plain English. ",transformers,0.8626845479011536,0.5158699970478637,0.9813508987426758,0.4889923334121704,0.3
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being written. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents, which are not found in the common operations. ",transformers,0.8559718132019043,0.5037233683586927,0.981482744216919,0.477478563785553,0.3
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is needed. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents, which are not included in the common operations. ",transformers,0.8805153369903564,0.5158699970478637,0.9806317687034607,0.4889923334121704,0.3
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be created. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents, which are not found in plain text. ",transformers,0.8580370545387268,0.5158699970478637,0.9802020192146301,0.4889923334121704,0.3
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being created. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like factorial, trigonometry, roots, and exponents, which are not included in the basic operations. ",transformers,0.8567196726799011,0.5037233683586927,0.9793855547904968,0.477478563785553,0.3
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be written. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, and roots, which are not found in plain English. ",transformers,0.8496790528297424,0.5007982645531601,0.9837847352027893,0.47433915734291077,0.4
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being written. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the common ones. ",transformers,0.8864536285400391,0.5405956722720371,0.9846526980400085,0.5135886073112488,0.4
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is needed. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to common operations. ",transformers,0.8971328735351562,0.5679890329933185,0.9853276014328003,0.5396134853363037,0.4
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be created. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the common operations. ",transformers,0.8870415687561035,0.5405956722720371,0.9834736585617065,0.5135886073112488,0.4
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being created. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, and roots, which are not found in plain text. ",transformers,0.8338067531585693,0.5007982645531601,0.9826018214225769,0.47433915734291077,0.4
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is needed. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to common operations. ",transformers,0.8971328735351562,0.5679890329933185,0.9853276014328003,0.5396134853363037,0.5
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","Write a calculator class. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to common ones. ",transformers,0.9157853722572327,0.6303553565652246,0.9853130578994751,0.5683660507202148,0.5
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is written. It will contain common operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the common ones. ",transformers,0.902781069278717,0.5042050721427571,0.9841871857643127,0.47663506865501404,0.5
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","You can write a calculator class It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the usual. ",transformers,0.8839046359062195,0.5832344531099066,0.9812660217285156,0.5333740711212158,0.5
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","Write a class. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to them. ",transformers,0.9005157947540283,0.5680513420634288,0.9853993654251099,0.5680513381958008,0.5
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","You can write a calculator class. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the common ones. ",transformers,0.8986212611198425,0.5995561898065296,0.9835368990898132,0.5305075645446777,0.6
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class can be written. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to common operations. ",transformers,0.8932508826255798,0.5539537756355059,0.9845476150512695,0.5262793898582458,0.6
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is being written. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the common operations. ",transformers,0.8820837140083313,0.5405956722720371,0.9846844673156738,0.5135886073112488,0.6
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","There is a calculator class. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to common ones. ",transformers,0.9041127562522888,0.6042219291303452,0.9844410419464111,0.5573897361755371,0.6
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","A calculator class is needed. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the usual ones. ",transformers,0.9027459025382996,0.5539537756355059,0.9826979637145996,0.5262793898582458,0.6
"Write a Calculator class. It shall contain common arithmetic operations, such as addition or multiplication, but also more advanced operations, such as logarithm (of variable bases), factorial, trigonometry, roots, exponents.","You can write a calculator class. It will contain common arithmetic operations, such as addition or multiplication, but also more advanced operations like logarithm, factorial, trigonometry, roots, and exponents in addition to the common ones. ",transformers,0.8986212611198425,0.5995561898065296,0.9835368990898132,0.5305075645446777,0.7
