phrase,model,temperature,repetition_penalty,top_p,success,error
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,1.0,0.75,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,1.0,0.85,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,1.0,0.95,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2.0,0.75,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2.0,0.85,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2.0,0.95,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3.0,0.75,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3.0,0.85,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3.0,0.95,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4.0,0.75,False,"The current model class (BertModel) is not compatible with `.generate()`, as it doesn't have a language model head. Classes that support generation often end in one of these names: ['ForCausalLM', 'ForConditionalGeneration', 'ForSpeechSeq2Seq', 'ForVision2Seq']."
