phrase,model,temperature,repetition_penalty,top_p,success,error,avg_bleu,avg_rougel,avg_semantic_similarity,diversity_between_paraphrases
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.5,1.5,0.95,True,,0.69855762056862,0.9371428571428572,0.949352478981018,0.8804571333425079
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,1.5,0.95,True,,0.69855762056862,0.9371428571428572,0.949352478981018,0.8804571333425079
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,1.5,0.95,True,,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,1.5,0.95,True,,0.9260562332955665,0.9609523809523809,0.9917895317077636,0.85510005002835
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,1.5,0.95,True,,0.5973221156364843,0.7200717502702755,0.8906218647956848,0.747424228983288
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,1.0,1.5,0.95,True,,0.48127976692560803,0.5878702551281446,0.8499534010887146,0.6468576099859689
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",tuner007/pegasus_paraphrase,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",tuner007/pegasus_paraphrase,0.5,1.5,0.95,True,,0.9021963741048158,0.9596451914098975,0.9756852388381958,0.8485377009775401
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",tuner007/pegasus_paraphrase,1.0,1.5,0.95,True,,0.9178742269729383,0.9831746031746033,0.9792590975761414,0.8632968024738732
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",Vamsi/T5_Paraphrase_Paws,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",Vamsi/T5_Paraphrase_Paws,0.5,1.5,0.95,True,,0.7264697426961608,0.9588235294117646,0.9165253281593323,0.9591030886692904
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",Vamsi/T5_Paraphrase_Paws,1.0,1.5,0.95,True,,0.7264697426961608,0.9588235294117646,0.9165253281593323,0.9591030886692904
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",facebook/bart-base,0.0,1.5,0.95,False,"`temperature` (=0.0) has to be a strictly positive float, otherwise your next token scores will be invalid. If you're looking for greedy decoding strategies, set `do_sample=False`.",,,,
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",facebook/bart-base,0.5,1.5,0.95,True,,0.9557938128348576,0.987784156142365,0.9935218214988708,0.9134522891629423
"Given the business logic code below, implement Flask backend. Do not include example of usage or the business logic, do not repeat any code from this prompt. Only write the Flask API code.",facebook/bart-base,1.0,1.5,0.95,True,,0.9557938128348576,0.987784156142365,0.9935218214988708,0.9134522891629423
