original_phrase,paraphrase,approach_name,semantic_similarity,bleu,bert_score,sacre_bleu,persona
Write code to make a calculator,"Create a Python script that implements a basic calculator, capable of performing addition, subtraction, multiplication, and division operations. Include error handling for invalid input, such as division by zero, and provide a clear, user-friendly interface via the command line.",llms,0.28974035382270813,8.231055179516831e-232,0.9624184966087341,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Develop a Python function that takes two numerical inputs and an operator (+, -, *, /) as arguments, and returns the result of the corresponding calculation. Ensure the function includes robust unit tests to verify its correctness and handle potential edge cases.",llms,0.3318111300468445,8.147480343967206e-232,0.9617238640785217,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Craft a Python application that simulates a calculator. The application should accept numerical expressions as strings, parse them to identify the operands and operators, and then evaluate the expression according to the order of operations. Implement using clear, modular design with well-defined functions.",llms,0.491496741771698,2.8189878239914012e-155,0.96000075340271,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Design and implement a command-line calculator program in Python. The program should support basic arithmetic operations (+, -, *, /) and allow users to chain operations together. Focus on creating a clean and readable code base with comprehensive error handling, and provide functionality to clear previous values.",llms,0.47704964876174927,9.418382295637229e-232,0.9604200124740601,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Write a Python module containing functions for addition, subtraction, multiplication, and division. Then, create a main function that acts as a simple calculator interface, prompting the user for input and calling the appropriate functions. Ensure the code is well-documented and includes unit tests to confirm expected behavior.",llms,0.4299973249435425,1.0003688322288243e-231,0.9654266834259033,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Implement a basic calculator application that supports standard arithmetic operations (addition, subtraction, multiplication, division). Focus on clear, modular code that handles potential errors such as division by zero.",llms,0.12013688683509827,9.788429383461836e-232,0.9664210081100464,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Develop a command-line calculator utility. The program should accept arithmetic expressions as input strings, parse them according to operator precedence, and output the numerical result. Prioritize robust error handling for invalid input.",llms,0.5369576811790466,9.72161026064145e-232,0.9608045816421509,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Create a simple calculator class with methods for performing addition, subtraction, multiplication, and division. Include unit tests to verify the correctness of each operation, especially edge cases and boundary conditions.",llms,0.4318402111530304,9.788429383461836e-232,0.9611595869064331,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,Design and implement a RESTful API endpoint for a calculator service. The API should accept JSON payloads containing arithmetic operations and return the calculated result in JSON format. Consider security implications and input validation.,llms,0.5877893567085266,2.9363218606620623e-155,0.9648181200027466,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Build a rudimentary calculator application with a graphical user interface (GUI). The GUI should allow users to input numbers and operators via buttons, display the result, and include clear error messaging for invalid operations.",llms,0.549740195274353,9.533966891110756e-232,0.9653996825218201,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
