phrase,model,temperature,repetition_penalty,top_p,avg_bleu,avg_rougel,avg_semantic_similarity,diversity_between_paraphrases,success,error
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,1.0,0.75,0.7163236241018963,0.9371428571428572,0.9551704168319702,0.9186612565577168,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,1.0,0.85,0.7163236241018963,0.9371428571428572,0.9551704168319702,0.9186612565577168,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,1.0,0.95,0.7163236241018963,0.9371428571428572,0.9551704168319702,0.9186612565577168,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,2.0,0.75,0.7288312004154788,0.9485714285714286,0.9547672390937805,0.9320228768751235,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,2.0,0.85,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8800603465406478,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,2.0,0.95,0.7111183044879537,0.9485714285714286,0.9500634670257568,0.8800603465406478,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,3.0,0.75,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8274124479814823,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,3.0,0.85,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8274124479814823,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,3.0,0.95,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8274124479814823,True,
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.25,4.0,0.75,0.7111714120937047,0.9542857142857143,0.9484893321990967,0.8275680109658176,True,
